Titulo de la pelicula,Guion
Liberation (1971),Read transcript of Movie 'Liberation'
Proryv (1969),Read transcript of Movie 'Proryv'
Osvobozhdenie: Ognennaya duga (1970),Read transcript of Movie 'Osvobozhdenie: Ognennaya duga'
The Incredible Burt Wonderstone (2013),Read transcript of Movie 'The Incredible Burt Wonderstone'
The Foster Boy (2011),Read transcript of Movie 'The Foster Boy'
Names Engraved in Marble (2002),Read transcript of Movie 'Names Engraved in Marble'
Poltergeist (2015),Read transcript of Movie 'Poltergeist'
The Magnificent Cuckold (1964),Read transcript of Movie 'The Magnificent Cuckold'
Iron Man 2 (2010),Read transcript of Movie 'Iron Man 2'
The Lady in the Van (2015),Read transcript of Movie 'The Lady in the Van'
The Return of a Man Called Horse (1976),Read transcript of Movie 'The Return of a Man Called Horse'
Would You Rather (2012),Read transcript of Movie 'Would You Rather'
Idiots Are People Two! (2012),Read transcript of Movie 'Idiots Are People Two!'
Land of Oblivion (2011),Read transcript of Movie 'Land of Oblivion'
Welcome to the Dollhouse (1995),Read transcript of Movie 'Welcome to the Dollhouse'
Variola Vera (1982),Read transcript of Movie 'Variola Vera'
Shoot 'Em Up (2007),Read transcript of Movie 'Shoot 'Em Up'
Crimson Peak (2015),Read transcript of Movie 'Crimson Peak'
Lost on Journey (2010),Read transcript of Movie 'Lost on Journey'
ABCD (Any Body Can Dance) (2013),Read transcript of Movie 'ABCD (Any Body Can Dance)'
The Incredible Shrinking Man (1957),Read transcript of Movie 'The Incredible Shrinking Man'
The Finest Hours (2016),Read transcript of Movie 'The Finest Hours'
Triple 9 (2016),Read transcript of Movie 'Triple 9'
My Way (2011),Read transcript of Movie 'My Way'
Winter's Tale (2014),Read transcript of Movie 'Winter's Tale'
Enlightenment Guaranteed (1999),Read transcript of Movie 'Enlightenment Guaranteed'
Whisky Romeo Zulu (2004),Read transcript of Movie 'Whisky Romeo Zulu'
Prozac Nation (2001),Read transcript of Movie 'Prozac Nation'
Fight Club (1999),Read transcript of Movie 'Fight Club'
Fear and Loathing in Las Vegas (1998),Read transcript of Movie 'Fear and Loathing in Las Vegas'
How to Draw a Perfect Circle (2009),Read transcript of Movie 'How to Draw a Perfect Circle'
Anger Management (2003),Read transcript of Movie 'Anger Management'
Satiricosissimo (1970),Read transcript of Movie 'Satiricosissimo'
The Valet (2006),Read transcript of Movie 'The Valet'
Lumière and Company (1995),Read transcript of Movie 'Lumière and Company'
Ip Man (2008),Read transcript of Movie 'Ip Man'
That Sugar Film (2014),Read transcript of Movie 'That Sugar Film'
Blind Date (2015),Read transcript of Movie 'Blind Date'
Cekání na dést (1978),Read transcript of Movie 'Cekání na dést'
With Fire and Sword (1999),Read transcript of Movie 'With Fire and Sword'
Fifty Shades of Black (2016),Read transcript of Movie 'Fifty Shades of Black'
The Barbarian Invasions (2003),Read transcript of Movie 'The Barbarian Invasions'
All About My Wife (2012),Read transcript of Movie 'All About My Wife'
The Phantom of Morrisville (1966),Read transcript of Movie 'The Phantom of Morrisville'
True Lies (1994),Read transcript of Movie 'True Lies'
Django Unchained (2012),Read transcript of Movie 'Django Unchained'
Working Girl (1988),Read transcript of Movie 'Working Girl'
Human Warmth (2013),Read transcript of Movie 'Human Warmth'
Inherent Vice (2014),Read transcript of Movie 'Inherent Vice'
Boogie Nights (1997),Read transcript of Movie 'Boogie Nights'
Fantastic Planet (1973),Read transcript of Movie 'Fantastic Planet'
Indochine (1992),Read transcript of Movie 'Indochine'
Stoned (2005),Read transcript of Movie 'Stoned'
Son of Saul (2015),Read transcript of Movie 'Son of Saul'
Ardennes Fury (2014),Read transcript of Movie 'Ardennes Fury'
Snow White (2012),Read transcript of Movie 'Snow White'
The Man from U.N.C.L.E. (2015),Read transcript of Movie 'The Man from U.N.C.L.E.'
Mune: Guardian of the Moon (2014),Read transcript of Movie 'Mune: Guardian of the Moon'
The Time Traveler's Wife (2009),Read transcript of Movie 'The Time Traveler's Wife'
Forever Strong (2008),Read transcript of Movie 'Forever Strong'
The 5th Wave (2016),Read transcript of Movie 'The 5th Wave'
Tootsie (1982),Read transcript of Movie 'Tootsie'
Joy (2015),Read transcript of Movie 'Joy'
Daddy's Home (2015),Read transcript of Movie 'Daddy's Home'
Glee: The 3D Concert Movie (2011),Read transcript of Movie 'Glee: The 3D Concert Movie'
Human Traffic (1999),Read transcript of Movie 'Human Traffic'
Antony and Cleopatra (1972),Read transcript of Movie 'Antony and Cleopatra'
Bandslam (2009),Read transcript of Movie 'Bandslam'
What Maisie Knew (2012),Read transcript of Movie 'What Maisie Knew'
Aban and Khorshid (2014),Read transcript of Movie 'Aban and Khorshid'
Solino (2002),Read transcript of Movie 'Solino'
What the Snow Brings (2005),Read transcript of Movie 'What the Snow Brings'
Pyaar Ka Punchnama (2011),Read transcript of Movie 'Pyaar Ka Punchnama'
Boy of Two Worlds (1959),Read transcript of Movie 'Boy of Two Worlds'
Abraham Lincoln: Vampire Hunter (2012),Read transcript of Movie 'Abraham Lincoln: Vampire Hunter'
Ali Baba and the Seven Dwarfs (2015),Read transcript of Movie 'Ali Baba and the Seven Dwarfs'
Red Heat (1988),Read transcript of Movie 'Red Heat'
Sunstroke (2009),Read transcript of Movie 'Sunstroke'
The Machinist (2004),Read transcript of Movie 'The Machinist'
Encounters at the End of the World (2007),Read transcript of Movie 'Encounters at the End of the World'
Spotlight (2015),Read transcript of Movie 'Spotlight'
The Hateful Eight (2015),Read transcript of Movie 'The Hateful Eight'
Ice Age: The Great Egg-Scapade (2016),Read transcript of Movie 'Ice Age: The Great Egg-Scapade'
Silent Wedding (2008),Read transcript of Movie 'Silent Wedding'
"Adventures of Robinson Crusoe, a Sailor from York (1982)","Read transcript of Movie 'Adventures of Robinson Crusoe, a Sailor from York'"
Robin Williams: Weapons of Self Destruction (2009),Read transcript of Movie 'Robin Williams: Weapons of Self Destruction'
Jack Irish: Bad Debts (2012),Read transcript of Movie 'Jack Irish: Bad Debts'
Goodnight for Justice (2011),Read transcript of Movie 'Goodnight for Justice'
The Silence of the Lambs (1991),Read transcript of Movie 'The Silence of the Lambs'
Sabrina (1954),Read transcript of Movie 'Sabrina'
Smile Again (2006),Read transcript of Movie 'Smile Again'
The Revenant (2015),Read transcript of Movie 'The Revenant'
"Batman: The Dark Knight Returns, Part 2 (2013)","Read transcript of Movie 'Batman: The Dark Knight Returns, Part 2'"
The Hills Run Red (1966),Read transcript of Movie 'The Hills Run Red'
Shadow Builder (1998),Read transcript of Movie 'Shadow Builder'
Ragnarok (2013),Read transcript of Movie 'Ragnarok'
Mughal-E-Azam (1960),Read transcript of Movie 'Mughal-E-Azam'
The King Is Dancing (2000),Read transcript of Movie 'The King Is Dancing'
Air Collision (2012),Read transcript of Movie 'Air Collision'
Eva (1948),Read transcript of Movie 'Eva'
Hester Street (1975),Read transcript of Movie 'Hester Street'
Tumbledown (2015),Read transcript of Movie 'Tumbledown'
Darker Than Midnight (2014),Read transcript of Movie 'Darker Than Midnight'
Urumi: The Warriors Who Wanted to Kill Vasco Da Gama (2011),Read transcript of Movie 'Urumi: The Warriors Who Wanted to Kill Vasco Da Gama'
Cairo Station (1958),Read transcript of Movie 'Cairo Station'
Miss Oyu (1951),Read transcript of Movie 'Miss Oyu'
The Moon and the Son: An Imagined Conversation (2005),Read transcript of Movie 'The Moon and the Son: An Imagined Conversation'
Tai Chi Zero (2012),Read transcript of Movie 'Tai Chi Zero'
Heat Wave (2011),Read transcript of Movie 'Heat Wave'
Eugenio (1980),Read transcript of Movie 'Eugenio'
"Late August, Early September (1998)","Read transcript of Movie 'Late August, Early September'"
Through a Glass Darkly (1961),Read transcript of Movie 'Through a Glass Darkly'
Late Spring: Regrets for Our Youth (2009),Read transcript of Movie 'Late Spring: Regrets for Our Youth'
Difret (2014),Read transcript of Movie 'Difret'
Little Boy (2015),Read transcript of Movie 'Little Boy'
The Green Inferno (2013),Read transcript of Movie 'The Green Inferno'
Salomé (2013),Read transcript of Movie 'Salomé'
Charisma (1999),Read transcript of Movie 'Charisma'
Over the Top (1987),Read transcript of Movie 'Over the Top'
Creed (2015),Read transcript of Movie 'Creed'
The Hunger Games: Mockingjay - Part 2 (2015),Read transcript of Movie 'The Hunger Games: Mockingjay - Part 2'
Father of the Bride (1991),Read transcript of Movie 'Father of the Bride'
Copenhagen (2014),Read transcript of Movie 'Copenhagen'
Suffragette (2015),Read transcript of Movie 'Suffragette'
Serpico (1973),Read transcript of Movie 'Serpico'
The Three Stooges (2012),Read transcript of Movie 'The Three Stooges'
Forsaken (2015),Read transcript of Movie 'Forsaken'
Heidi (1993),Read transcript of Movie 'Heidi'
My Magic (2008),Read transcript of Movie 'My Magic'
Rosencrantz & Guildenstern Are Dead (1990),Read transcript of Movie 'Rosencrantz & Guildenstern Are Dead'
The Fire Within (1963),Read transcript of Movie 'The Fire Within'
Miami Vice (2006),Read transcript of Movie 'Miami Vice'
Iron Man (2008),Read transcript of Movie 'Iron Man'
Star Wars: Episode I - The Phantom Menace (1999),Read transcript of Movie 'Star Wars: Episode I - The Phantom Menace'
The Cocoanuts (1929),Read transcript of Movie 'The Cocoanuts'
Heidi (2015),Read transcript of Movie 'Heidi'
Johan (1976),Read transcript of Movie 'Johan'
Ilya and the Robber (2007),Read transcript of Movie 'Ilya and the Robber'
As Luck Would Have It (2011),Read transcript of Movie 'As Luck Would Have It'
Local Hero (2016),Read transcript of Movie 'Local Hero'
The Taming of the Scoundrel (1980),Read transcript of Movie 'The Taming of the Scoundrel'
Truth About Men (2010),Read transcript of Movie 'Truth About Men'
Love & Other Drugs (2010),Read transcript of Movie 'Love & Other Drugs'
Macbeth (2015),Read transcript of Movie 'Macbeth'
Knight of Cups (2015),Read transcript of Movie 'Knight of Cups'
Session 9 (2001),Read transcript of Movie 'Session 9'
Do Not Disturb (2016),Read transcript of Movie 'Do Not Disturb'
The Danish Girl (2015),Read transcript of Movie 'The Danish Girl'
The Summer of Sangaile (2015),Read transcript of Movie 'The Summer of Sangaile'
S.W.A.T. (2003),Read transcript of Movie 'S.W.A.T.'
Venus in Fur (2013),Read transcript of Movie 'Venus in Fur'
Mad Max: Fury Road (2015),Read transcript of Movie 'Mad Max: Fury Road'
Victor Frankenstein (2015),Read transcript of Movie 'Victor Frankenstein'
Smokin' Aces (2006),Read transcript of Movie 'Smokin' Aces'
Strange Days (1995),Read transcript of Movie 'Strange Days'
Hyena Road (2015),Read transcript of Movie 'Hyena Road'
Winter Sleep (2014),Read transcript of Movie 'Winter Sleep'
Alive (1993),Read transcript of Movie 'Alive'
Pirates of the Caribbean: At World's End (2007),Read transcript of Movie 'Pirates of the Caribbean: At World's End'
If There Be Thorns (2015),Read transcript of Movie 'If There Be Thorns'
Kingsman: The Secret Service (2014),Read transcript of Movie 'Kingsman: The Secret Service'
L'enquête corse (2004),Read transcript of Movie 'L'enquête corse'
The Recruit (2003),Read transcript of Movie 'The Recruit'
The Wolf of Wall Street (2013),Read transcript of Movie 'The Wolf of Wall Street'
Nanga Parbat (2010),Read transcript of Movie 'Nanga Parbat'
Planet 51 (2009),Read transcript of Movie 'Planet 51'
Why Has Bodhi-Dharma Left for the East? (1989),Read transcript of Movie 'Why Has Bodhi-Dharma Left for the East?'
The Night Before (2015),Read transcript of Movie 'The Night Before'
The Dressmaker (2015),Read transcript of Movie 'The Dressmaker'
Pain & Gain (2013),Read transcript of Movie 'Pain & Gain'
The Pact II (2014),Read transcript of Movie 'The Pact II'
Candy Boy (2007),Read transcript of Movie 'Candy Boy'
The American Friend (1977),Read transcript of Movie 'The American Friend'
The Good Dinosaur (2015),Read transcript of Movie 'The Good Dinosaur'
Jupiter Ascending (2015),Read transcript of Movie 'Jupiter Ascending'
O'Horten (2007),Read transcript of Movie 'O'Horten'
"South Park: Bigger, Longer & Uncut (1999)","Read transcript of Movie 'South Park: Bigger, Longer & Uncut'"
Crime Squad (2011),Read transcript of Movie 'Crime Squad'
Big Love (2012),Read transcript of Movie 'Big Love'
Seawards Journey (2003),Read transcript of Movie 'Seawards Journey'
"Brother Sun, Sister Moon (1972)","Read transcript of Movie 'Brother Sun, Sister Moon'"
Macadam Stories (2015),Read transcript of Movie 'Macadam Stories'
Meadowland (2015),Read transcript of Movie 'Meadowland'
What's the Time in Your World? (2014),Read transcript of Movie 'What's the Time in Your World?'
American Ultra (2015),Read transcript of Movie 'American Ultra'
Trevor (1994),Read transcript of Movie 'Trevor'
The Heart of Me (2002),Read transcript of Movie 'The Heart of Me'
Puss in Boots (2011),Read transcript of Movie 'Puss in Boots'
Wrestling (2007),Read transcript of Movie 'Wrestling'
Pulsar (2010),Read transcript of Movie 'Pulsar'
Ben-Hur (1959),Read transcript of Movie 'Ben-Hur'
Grandma (2015),Read transcript of Movie 'Grandma'
Hot Girls Wanted (2015),Read transcript of Movie 'Hot Girls Wanted'
Breath (2007),Read transcript of Movie 'Breath'
Dare (2005),Read transcript of Movie 'Dare'
Sgt. Bilko (1996),Read transcript of Movie 'Sgt. Bilko'
Sonyeogoedam (2014),Read transcript of Movie 'Sonyeogoedam'
Primal Fear (1996),Read transcript of Movie 'Primal Fear'
The Vicious Kind (2009),Read transcript of Movie 'The Vicious Kind'
Bad Boys II (2003),Read transcript of Movie 'Bad Boys II'
Balkan Spy (1984),Read transcript of Movie 'Balkan Spy'
The Tree of Life (2011),Read transcript of Movie 'The Tree of Life'
History of Cinema in Popielawy (1998),Read transcript of Movie 'History of Cinema in Popielawy'
Bone Tomahawk (2015),Read transcript of Movie 'Bone Tomahawk'
Room (2015),Read transcript of Movie 'Room'
In the Crosswind (2014),Read transcript of Movie 'In the Crosswind'
The Musketeer (2001),Read transcript of Movie 'The Musketeer'
Gladiators of Rome (2012),Read transcript of Movie 'Gladiators of Rome'
The Candidate (2008),Read transcript of Movie 'The Candidate'
Home Invasion (2016),Read transcript of Movie 'Home Invasion'
Bridge to Terabithia (2007),Read transcript of Movie 'Bridge to Terabithia'
The Unknown Woman (2006),Read transcript of Movie 'The Unknown Woman'
The Monitor (2011),Read transcript of Movie 'The Monitor'
Tim's Vermeer (2013),Read transcript of Movie 'Tim's Vermeer'
Belle du Seigneur (2012),Read transcript of Movie 'Belle du Seigneur'
Perfume: The Story of a Murderer (2006),Read transcript of Movie 'Perfume: The Story of a Murderer'
Ubit drakona (1989),Read transcript of Movie 'Ubit drakona'
Mädchen in Uniform (1958),Read transcript of Movie 'Mädchen in Uniform'
Love Never Dies (2012),Read transcript of Movie 'Love Never Dies'
Mondays in the Sun (2002),Read transcript of Movie 'Mondays in the Sun'
The Counsellor (2013),Read transcript of Movie 'The Counsellor'
The Legend Is Born: Ip Man (2010),Read transcript of Movie 'The Legend Is Born: Ip Man'
The Magic Flute (1975),Read transcript of Movie 'The Magic Flute'
Unknown (2011),Read transcript of Movie 'Unknown'
She Male Snails (2012),Read transcript of Movie 'She Male Snails'
Brave New Land (2000),Read transcript of Movie 'Brave New Land'
Tokyo Rampage (1998),Read transcript of Movie 'Tokyo Rampage'
The Fencer (2015),Read transcript of Movie 'The Fencer'
Wizards of Waverly Place: The Movie (2009),Read transcript of Movie 'Wizards of Waverly Place: The Movie'
The Diary of a Teenage Girl (2015),Read transcript of Movie 'The Diary of a Teenage Girl'
Flores negras (2009),Read transcript of Movie 'Flores negras'
Scouts Guide to the Zombie Apocalypse (2015),Read transcript of Movie 'Scouts Guide to the Zombie Apocalypse'
